tender_id,state,department,location_district,work_category,estimated_value_lakhs,closing_deadline
96896096,Chhattisgarh,Chhattisgarh Tenders,Not Specified,Other,10171.0,2026-06-16
97453947,Chhattisgarh,Power Plant Tenders,Not Specified,Mining,4791.0,2026-07-07
97435170,Chhattisgarh,Railways Transport Services Tenders,Not Specified,Other,4741.0,2026-07-14
97435011,Chhattisgarh,Railways Transport Services Tenders,Not Specified,Other,4560.0,2026-07-10
97434668,Chhattisgarh,Railways Transport Services Tenders,Not Specified,Civil,3810.0,2026-07-07
97434815,Chhattisgarh,Railways Transport Services Tenders,Not Specified,Civil,3320.0,2026-07-07
UP-PWD-2026-E09,Uttar Pradesh,Up Pwd (Govt),Lucknow,Civil,1450.0,2026-07-25
